,COD-LOJA,COD-PLU,QTD-EMBAL
421,1299,1050329,0
422,1299,1050338,1
423,1299,1050339,1
424,1299,1050758,2
425,1299,1050921,1
426,1299,1051085,1
427,1299,1051335,1
428,1299,1052140,1
429,1299,1053161,1
430,1299,1053184,2
431,1299,1053253,0
432,1299,1053254,0
433,1299,1054334,1
434,1299,1054336,1
435,1299,1054338,1
436,1299,1054339,1
437,1299,1054457,1
438,1299,1054458,1
439,1299,1054662,2
440,1299,1054713,0
441,1299,1055001,1
442,1299,1055212,1
443,1299,1055700,1
444,1299,1056650,1
445,1299,1056850,3
446,1299,1056852,4
447,1299,1056854,2
448,1299,1056970,1
449,1299,1058309,2
450,1299,1058327,1
451,1299,1059121,1
452,1299,1059122,1
453,1299,1059765,1
454,1299,1060099,1
455,1299,1060413,1
456,1299,1060414,1
457,1299,1060417,0
458,1299,1060419,0
459,1299,1060797,2
460,1299,1060948,1
461,1299,1061119,1
462,1299,1061366,1
463,1299,1061370,1
464,1299,1061539,42
465,1299,1061848,1
466,1299,1062285,1
467,1299,1062286,1
468,1299,1062412,7
469,1299,1062852,0
470,1299,1063419,1
471,1299,1063722,1
472,1299,1063758,1
473,1299,1063924,1
474,1299,1063928,1
475,1299,1064077,4
476,1299,1064167,1
477,1299,1064662,1
478,1299,1065622,1
479,1299,1065698,1
480,1299,1066810,1
481,1299,1066818,23
482,1299,1066860,0
483,1299,1066861,0
484,1299,1067348,16
485,1299,1067455,2
486,1299,1067692,1
487,1299,1068042,1
488,1299,1069488,1
489,1299,1069807,1
490,1299,1069809,1
491,1299,1069851,1
492,1299,1069852,1
493,1299,1069857,1
494,1299,1070337,2
495,1299,1070467,1
496,1299,1070803,3
497,1299,1070849,1
498,1299,1072201,1
499,1299,1072334,1
500,1299,1072558,1
501,1299,1072573,1
502,1299,1072574,1
503,1299,1072870,2
504,1299,1073120,1
505,1299,1073121,1
506,1299,1073181,1
507,1299,1074033,1
508,1299,1075493,1
509,1299,1075592,1
510,1299,1075949,1
511,1299,1076099,1
512,1299,1076175,1
513,1299,1076183,1
514,1299,1076184,1
515,1299,1076185,1
516,1299,1076401,1
517,1299,1077193,2
518,1299,1078236,1
519,1299,1078721,1
520,1299,1078791,1
521,1299,1079320,1
522,1299,1080424,1
523,1299,1080934,1
524,1299,1080935,1
525,1299,1080936,1
526,1299,1080968,1
527,1299,1081726,2
528,1299,1081780,8
529,1299,1081979,1
530,1299,1082114,1
531,1299,1082228,1
532,1299,1082810,1
533,1299,1082811,1
534,1299,1082835,1
535,1299,1082836,1
536,1299,1083252,1
537,1299,1083254,0
538,1299,1084579,1
539,1299,1084601,1
540,1299,1084937,2
541,1299,1084938,2
542,1299,1085519,4
543,1299,1085817,1
544,1299,1086247,1
545,1299,1086262,1
546,1299,1086264,1
547,1299,1086268,1
548,1299,1086486,1
549,1299,1086666,2
550,1299,1086709,1
551,1299,1086880,1
552,1299,1087279,1
553,1299,1087463,1
554,1299,1088471,1
555,1299,1088473,1
556,1299,1089547,9
557,1299,1089900,1
558,1299,1089957,1
559,1299,1090607,1
560,1299,1090646,1
561,1299,1090918,1
562,1299,1091814,1
563,1299,1092088,1
564,1299,1092131,1
565,1299,1092139,1
566,1299,1092780,1
567,1299,1093017,0
568,1299,1093030,1
569,1299,1093033,0
570,1299,1093034,2
571,1299,1093038,0
572,1299,1093039,0
573,1299,1093057,1
574,1299,1093657,2
575,1299,1093658,3
576,1299,1093670,0
577,1299,1094198,1
578,1299,1094199,1
579,1299,1094264,1
580,1299,1094265,1
581,1299,1094295,1
582,1299,1094308,1
583,1299,1094874,1
584,1299,1094877,1
585,1299,1094878,1
586,1299,1094890,1
587,1299,1095276,1
588,1299,1096020,2
589,1299,1096021,2
590,1299,1096023,1
591,1299,1096221,8
592,1299,1096258,2
593,1299,1096487,1
594,1299,1096488,1
595,1299,1097362,1
596,1299,1097392,1
597,1299,1097423,1
598,1299,1098530,3
599,1299,1098826,33
600,1299,1098827,44
601,1299,1099796,0
602,1299,1099798,0
603,1299,1099833,0
604,1299,1099834,0
605,1299,1100053,1
606,1299,1100054,0
607,1299,1100055,1
608,1299,1100840,1
609,1299,1100897,1
610,1299,1101183,0
611,1299,1101184,1
612,1299,1101193,0
613,1299,1101246,4
614,1299,1101247,1
615,1299,1101248,1
616,1299,1101641,1
617,1299,1101710,1
618,1299,1102225,10
619,1299,1102226,0
620,1299,1102373,1
621,1299,1102374,1
622,1299,1102379,3
623,1299,1102382,4
624,1299,1102385,1
625,1299,1102447,2
626,1299,1102448,1
627,1299,1102568,1
628,1299,1102569,1
629,1299,1104141,1
630,1299,1104339,1
631,1299,1104484,9
632,1299,1104819,1
633,1299,1104821,1
634,1299,1104830,1
635,1299,1105016,0
636,1299,1105017,0
637,1299,1105074,2
